,index,rssa11,rssa12,rssa13,rssa14,rssa15,rssa21,rssa22,rssa23,rssa24,rssa25,rssa31,rssa32,rssa33,rssa34,rssa35,rssa41,rssa42,rssa43,rssa44,rssa45,rssa51,rssa52,rssa53,rssa54,rssa55,rssa61,rssa62,rssa63,rssa64,rssa65,x,y,rssa1,rssa2,rssa3,rssa4,rssa5,rssa6
0,0,-27.0,-30.0,-29.0,-25.0,-23.0,-67.0,-70.0,-68.0,-65.0,-63.0,-61.0,-65.0,-63.0,-59.0,-57.0,-67.0,-71.0,-68.0,-65.0,-63.0,-68.0,-71.0,-69.0,-66.0,-64.0,-70.0,-73.0,-72.0,-68.0,-66.0,0,0,-26.8,-66.6,-61.0,-66.8,-67.6,-69.8
1,1,-41.0,-40.5,-39.5,-37.5,-40.0,-68.0,-67.5,-66.0,-64.5,-67.0,-59.5,-60.0,-58.0,-56.5,-58.5,-67.0,-67.0,-65.0,-64.5,-66.0,-68.5,-68.5,-66.5,-65.0,-67.5,-70.5,-70.0,-69.0,-67.0,-69.5,1,0,-39.7,-66.6,-58.5,-65.9,-67.2,-69.2
2,2,-55.0,-51.0,-50.0,-50.0,-57.0,-69.0,-65.0,-64.0,-64.0,-71.0,-58.0,-55.0,-53.0,-54.0,-60.0,-67.0,-63.0,-62.0,-64.0,-69.0,-69.0,-66.0,-64.0,-64.0,-71.0,-71.0,-67.0,-66.0,-66.0,-73.0,2,0,-52.6,-66.6,-56.0,-65.0,-66.8,-68.6
3,3,-57.5,-55.5,-54.0,-51.5,-56.0,-69.5,-66.5,-65.0,-63.0,-67.5,-54.0,-52.0,-50.0,-48.5,-52.0,-66.0,-63.5,-61.5,-60.5,-64.0,-69.5,-67.5,-65.0,-62.5,-67.0,-71.0,-68.5,-66.5,-64.0,-68.5,3,0,-54.9,-66.3,-51.3,-63.1,-66.3,-67.7
4,4,-60.0,-60.0,-58.0,-53.0,-55.0,-70.0,-68.0,-66.0,-62.0,-64.0,-50.0,-49.0,-47.0,-43.0,-44.0,-65.0,-64.0,-61.0,-57.0,-59.0,-70.0,-69.0,-66.0,-61.0,-63.0,-71.0,-70.0,-67.0,-62.0,-64.0,4,0,-57.2,-66.0,-46.6,-61.2,-65.8,-66.8
5,5,-60.0,-59.5,-58.0,-57.0,-59.0,-68.0,-66.0,-64.5,-65.0,-66.5,-47.0,-46.5,-45.0,-45.0,-46.0,-62.0,-59.5,-57.5,-58.0,-59.5,-67.0,-65.5,-64.0,-64.0,-65.0,-68.0,-67.0,-66.5,-64.5,-66.0,5,0,-58.7,-66.0,-45.9,-59.3,-65.1,-66.4
6,6,-60.0,-59.0,-58.0,-61.0,-63.0,-66.0,-64.0,-63.0,-68.0,-69.0,-44.0,-44.0,-43.0,-47.0,-48.0,-59.0,-55.0,-54.0,-59.0,-60.0,-64.0,-62.0,-62.0,-67.0,-67.0,-65.0,-64.0,-66.0,-67.0,-68.0,6,0,-60.2,-66.0,-45.2,-57.4,-64.4,-66.0
7,7,-61.5,-63.0,-63.0,-62.0,-65.5,-66.5,-67.5,-68.0,-67.5,-70.5,-49.0,-51.5,-51.5,-51.5,-53.5,-55.0,-55.0,-55.5,-55.0,-58.0,-64.5,-65.5,-66.5,-66.0,-68.5,-65.0,-66.5,-68.0,-66.0,-69.0,7,0,-63.0,-68.0,-51.4,-55.7,-66.2,-66.9
8,8,-63.0,-67.0,-68.0,-63.0,-68.0,-67.0,-71.0,-73.0,-67.0,-72.0,-54.0,-59.0,-60.0,-56.0,-59.0,-51.0,-55.0,-57.0,-51.0,-56.0,-65.0,-69.0,-71.0,-65.0,-70.0,-65.0,-69.0,-70.0,-65.0,-70.0,8,0,-65.8,-70.0,-57.6,-54.0,-68.0,-67.8
9,9,-65.5,-66.0,-64.0,-65.5,-65.5,-69.0,-69.5,-68.0,-69.0,-69.0,-58.0,-59.0,-57.0,-59.0,-58.5,-39.5,-40.0,-38.5,-39.5,-39.5,-67.0,-67.5,-66.0,-67.0,-67.0,-66.5,-67.0,-66.0,-66.5,-66.5,9,0,-65.3,-68.9,-58.3,-39.4,-66.9,-66.5
