,index,x,y,rssa1,rssa2,rssa3,rssa4,rssa5,rssa6
0,0,0,0,-26.8,-66.6,-61.0,-66.8,-67.6,-69.8
1,1,1,0,-39.7,-66.6,-58.5,-65.9,-67.2,-69.2
2,2,2,0,-52.6,-66.6,-56.0,-65.0,-66.8,-68.6
3,3,3,0,-54.9,-66.3,-51.3,-63.1,-66.3,-67.7
4,4,4,0,-57.2,-66.0,-46.6,-61.2,-65.8,-66.8
5,5,5,0,-58.7,-66.0,-45.9,-59.3,-65.1,-66.4
6,6,6,0,-60.2,-66.0,-45.2,-57.4,-64.4,-66.0
7,7,7,0,-63.0,-68.0,-51.4,-55.7,-66.2,-66.9
8,8,8,0,-65.8,-70.0,-57.6,-54.0,-68.0,-67.8
9,9,9,0,-65.3,-68.9,-58.3,-39.4,-66.9,-66.5
10,10,10,0,-64.8,-67.8,-59.0,-24.8,-65.8,-65.2
11,11,0,1,-39.1,-64.9,-60.4,-66.1,-66.1,-68.6
12,12,1,1,-46.3,-64.9,-58.3,-64.95,-65.7,-68.0
13,13,2,1,-53.5,-64.9,-56.2,-63.8,-65.3,-67.4
14,14,3,1,-56.05,-65.45,-53.35,-62.95,-65.35,-67.15
15,15,4,1,-58.6,-66.0,-50.5,-62.1,-65.4,-66.9
16,16,5,1,-59.65,-65.8,-49.6,-59.95,-64.6,-65.8
17,17,6,1,-60.7,-65.6,-48.7,-57.8,-63.8,-64.7
18,18,7,1,-63.25,-67.3,-53.45,-56.45,-65.35,-65.8
19,19,8,1,-65.8,-69.0,-58.2,-55.1,-66.9,-66.9
20,20,9,1,-65.05,-67.9,-58.45,-46.3,-65.95,-65.2
21,21,10,1,-64.3,-66.8,-58.7,-37.5,-65.0,-63.5
22,22,0,2,-51.4,-63.2,-59.8,-65.4,-64.6,-67.4
23,23,1,2,-52.9,-63.2,-58.1,-64.0,-64.2,-66.8
24,24,2,2,-54.4,-63.2,-56.4,-62.6,-63.8,-66.2
25,25,3,2,-57.2,-64.6,-55.4,-62.8,-64.4,-66.6
26,26,4,2,-60.0,-66.0,-54.4,-63.0,-65.0,-67.0
27,27,5,2,-60.6,-65.6,-53.3,-60.6,-64.1,-65.2
28,28,6,2,-61.2,-65.2,-52.2,-58.2,-63.2,-63.4
29,29,7,2,-63.5,-66.6,-55.5,-57.2,-64.5,-64.7
30,30,8,2,-65.8,-68.0,-58.8,-56.2,-65.8,-66.0
31,31,9,2,-64.8,-66.9,-58.6,-53.2,-65.0,-63.9
32,32,10,2,-63.8,-65.8,-58.4,-50.2,-64.2,-61.8
33,33,0,3,-54.1,-61.8,-60.2,-65.4,-63.5,-66.7
34,34,1,3,-55.2,-62.0,-59.0,-64.4,-63.15,-66.2
35,35,2,3,-56.3,-62.2,-57.8,-63.4,-62.8,-65.7
36,36,3,3,-58.6,-63.35,-57.05,-63.2,-63.1,-65.7
37,37,4,3,-60.9,-64.5,-56.3,-63.0,-63.4,-65.7
38,38,5,3,-61.55,-64.6,-55.7,-61.3,-62.85,-64.5
39,39,6,3,-62.2,-64.7,-55.1,-59.6,-62.3,-63.3
40,40,7,3,-63.4,-65.5,-56.85,-58.3,-62.75,-63.25
41,41,8,3,-64.6,-66.3,-58.6,-57.0,-63.2,-63.2
42,42,9,3,-64.95,-66.5,-59.5,-55.65,-63.75,-62.5
43,43,10,3,-65.3,-66.7,-60.4,-54.3,-64.3,-61.8
44,44,0,4,-56.8,-60.4,-60.6,-65.4,-62.4,-66.0
45,45,1,4,-57.5,-60.8,-59.9,-64.8,-62.1,-65.6
46,46,2,4,-58.2,-61.2,-59.2,-64.2,-61.8,-65.2
47,47,3,4,-60.0,-62.1,-58.7,-63.6,-61.8,-64.8
48,48,4,4,-61.8,-63.0,-58.2,-63.0,-61.8,-64.4
49,49,5,4,-62.5,-63.6,-58.1,-62.0,-61.6,-63.8
50,50,6,4,-63.2,-64.2,-58.0,-61.0,-61.4,-63.2
51,51,7,4,-63.3,-64.4,-58.2,-59.4,-61.0,-61.8
52,52,8,4,-63.4,-64.6,-58.4,-57.8,-60.6,-60.4
53,53,9,4,-65.1,-66.1,-60.4,-58.1,-62.5,-61.1
54,54,10,4,-66.8,-67.6,-62.4,-58.4,-64.4,-61.8
55,55,0,5,-59.1,-59.3,-62.5,-66.3,-62.2,-66.2
56,56,1,5,-59.6,-59.75,-61.45,-65.6,-61.55,-65.6
57,57,2,5,-60.1,-60.2,-60.4,-64.9,-60.9,-65.0
58,58,3,5,-61.15,-61.25,-60.05,-64.2,-60.4,-64.25
59,59,4,5,-62.2,-62.3,-59.7,-63.5,-59.9,-63.5
60,60,5,5,-62.85,-62.7,-59.55,-62.5,-53.95,-62.55
61,61,6,5,-63.5,-63.1,-59.4,-61.5,-48.0,-61.6
62,62,7,5,-63.6,-63.45,-59.45,-60.2,-53.15,-60.2
63,63,8,5,-63.7,-63.8,-59.5,-58.9,-58.3,-58.8
64,64,9,5,-64.35,-64.55,-60.35,-58.55,-59.8,-58.4
65,65,10,5,-65.0,-65.3,-61.2,-58.2,-61.3,-58.0
66,66,0,6,-61.4,-58.2,-64.4,-67.2,-62.0,-66.4
67,67,1,6,-61.7,-58.7,-63.0,-66.4,-61.0,-65.6
68,68,2,6,-62.0,-59.2,-61.6,-65.6,-60.0,-64.8
69,69,3,6,-62.3,-60.4,-61.4,-64.8,-59.0,-63.7
70,70,4,6,-62.6,-61.6,-61.2,-64.0,-58.0,-62.6
71,71,5,6,-63.2,-61.8,-61.0,-63.0,-46.3,-61.3
72,72,6,6,-63.8,-62.0,-60.8,-62.0,-34.6,-60.0
73,73,7,6,-63.9,-62.5,-60.7,-61.0,-45.3,-58.6
74,74,8,6,-64.0,-63.0,-60.6,-60.0,-56.0,-57.2
75,75,9,6,-63.6,-63.0,-60.3,-59.0,-57.1,-55.7
