x,y,rssa11,rssa12,rssa13,rssa14,rssa15,rssa21,rssa22,rssa23,rssa24,rssa25,rssa31,rssa32,rssa33,rssa34,rssa35,rssa41,rssa42,rssa43,rssa44,rssa45,rssa51,rssa52,rssa53,rssa54,rssa55,rssa61,rssa62,rssa63,rssa64,rssa65
0,0,-27,-30,-29,-25,-23,-67,-70,-68,-65,-63,-61,-65,-63,-59,-57,-67,-71,-68,-65,-63,-68,-71,-69,-66,-64,-70,-73,-72,-68,-66
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,-55,-51,-50,-50,-57,-69,-65,-64,-64,-71,-58,-55,-53,-54,-60,-67,-63,-62,-64,-69,-69,-66,-64,-64,-71,-71,-67,-66,-66,-73
3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,-60,-60,-58,-53,-55,-70,-68,-66,-62,-64,-50,-49,-47,-43,-44,-65,-64,-61,-57,-59,-70,-69,-66,-61,-63,-71,-70,-67,-62,-64
5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,-60,-59,-58,-61,-63,-66,-64,-63,-68,-69,-44,-44,-43,-47,-48,-59,-55,-54,-59,-60,-64,-62,-62,-67,-67,-65,-64,-66,-67,-68
7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,-63,-67,-68,-63,-68,-67,-71,-73,-67,-72,-54,-59,-60,-56,-59,-51,-55,-57,-51,-56,-65,-69,-71,-65,-70,-65,-69,-70,-65,-70
9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,-68,-65,-60,-68,-63,-71,-68,-63,-71,-66,-62,-59,-54,-62,-58,-28,-25,-20,-28,-23,-69,-66,-61,-69,-64,-68,-65,-62,-68,-63
0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,-55,-50,-53,-52,-47,-67,-62,-64,-64,-59,-63,-58,-61,-61,-56,-69,-64,-67,-66,-61,-68,-63,-66,-66,-60,-71,-66,-69,-68,-63
1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,-54,-59,-54,-52,-53,-63,-69,-61,-61,-62,-56,-61,-56,-54,-55,-63,-64,-63,-61,-62,-64,-69,-63,-61,-62,-66,-71,-65,-64,-65
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
